URL,Hierarchy,Depth,Last Modified
https://lc.hkbu.edu.hk/main/,main,1,2023-08-15T02:30:24+00:00
https://lc.hkbu.edu.hk/main/welcome/,main > welcome,2,2019-03-15T09:59:13+00:00
https://lc.hkbu.edu.hk/main/sitemap/,main > sitemap,2,2019-10-03T03:07:40+00:00
https://lc.hkbu.edu.hk/main/test_home/,main > test_home,2,2019-12-16T09:45:29+00:00
https://lc.hkbu.edu.hk/main/achievements/,main > achievements,2,2020-01-02T08:13:49+00:00
https://lc.hkbu.edu.hk/main/wuyc/,main > wuyc,2,2020-01-15T03:03:40+00:00
https://lc.hkbu.edu.hk/main/cschu/,main > cschu,2,2020-01-15T03:03:56+00:00
https://lc.hkbu.edu.hk/main/lawching/,main > lawching,2,2020-01-15T03:05:55+00:00
https://lc.hkbu.edu.hk/main/ltwong/,main > ltwong,2,2020-01-15T03:08:48+00:00
https://lc.hkbu.edu.hk/main/jchoe/,main > jchoe,2,2020-01-15T03:08:55+00:00
https://lc.hkbu.edu.hk/main/joanneli/,main > joanneli,2,2020-01-15T03:09:01+00:00
https://lc.hkbu.edu.hk/main/leoyu/,main > leoyu,2,2020-01-15T03:09:08+00:00
https://lc.hkbu.edu.hk/main/michellef/,main > michellef,2,2020-01-15T03:10:26+00:00
https://lc.hkbu.edu.hk/main/janelo/,main > janelo,2,2020-01-15T03:10:39+00:00
https://lc.hkbu.edu.hk/main/kinchan/,main > kinchan,2,2020-01-15T03:10:46+00:00
https://lc.hkbu.edu.hk/main/dan_lu/,main > dan_lu,2,2020-01-15T03:10:52+00:00
https://lc.hkbu.edu.hk/main/haumchiu/,main > haumchiu,2,2020-01-15T03:11:06+00:00
https://lc.hkbu.edu.hk/main/mkan208/,main > mkan208,2,2020-01-15T03:11:11+00:00
https://lc.hkbu.edu.hk/main/zhoubo/,main > zhoubo,2,2020-01-15T03:12:22+00:00
https://lc.hkbu.edu.hk/main/allylxx/,main > allylxx,2,2020-01-15T03:12:34+00:00
https://lc.hkbu.edu.hk/main/cheungshunwa/,main > cheungshunwa,2,2020-01-15T03:12:47+00:00
https://lc.hkbu.edu.hk/main/chushirley/,main > chushirley,2,2020-01-15T03:12:53+00:00
https://lc.hkbu.edu.hk/main/liwaiyin/,main > liwaiyin,2,2020-01-15T03:12:57+00:00
https://lc.hkbu.edu.hk/main/gracetin/,main > gracetin,2,2020-01-15T03:13:06+00:00
https://lc.hkbu.edu.hk/main/huangqin/,main > huangqin,2,2020-01-15T03:13:10+00:00
https://lc.hkbu.edu.hk/main/mlyim/,main > mlyim,2,2020-01-15T03:13:19+00:00
https://lc.hkbu.edu.hk/main/professional-development/,main > professional-development,2,2020-03-17T02:10:25+00:00
https://lc.hkbu.edu.hk/main/staff-foreign/wakae/,main > staff-foreign > wakae,3,2021-01-13T05:02:37+00:00
https://lc.hkbu.edu.hk/main/submenu-langforcareerdev/,main > submenu-langforcareerdev,2,2021-02-10T04:23:08+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-mr-rey-jean-luc/,main > staff-chinese > staff-mr-rey-jean-luc,3,2021-03-03T04:48:50+00:00
https://lc.hkbu.edu.hk/main/paulmyers/,main > paulmyers,2,2021-03-03T09:10:51+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-mr-gast-frank-ulrich/,main > staff-chinese > staff-mr-gast-frank-ulrich,3,2021-03-04T02:56:33+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-mr-jacky-fan-ho-yin/,main > staff-chinese > staff-mr-jacky-fan-ho-yin,3,2021-03-04T02:57:21+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-dr-littig-irene-brigitta/,main > staff-chinese > staff-dr-littig-irene-brigitta,3,2021-03-04T03:03:13+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-dr-garralda-ortega-maria/,main > staff-chinese > staff-dr-garralda-ortega-maria,3,2021-03-04T03:22:42+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-mr-chen-bi-cheng-jimmy/,main > staff-chinese > staff-mr-chen-bi-cheng-jimmy,3,2021-03-04T03:29:43+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-ms-kong-sung-tak-sandra/,main > staff-chinese > staff-ms-kong-sung-tak-sandra,3,2021-03-04T03:35:29+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-ms-mochizuki-takako/,main > staff-chinese > staff-ms-mochizuki-takako,3,2021-03-04T03:39:50+00:00
https://lc.hkbu.edu.hk/main/lnchow/,main > lnchow,2,2021-03-19T04:48:47+00:00
https://lc.hkbu.edu.hk/main/vickyman/,main > vickyman,2,2021-03-19T06:42:41+00:00
https://lc.hkbu.edu.hk/main/tonyhung/,main > tonyhung,2,2021-04-19T08:41:22+00:00
https://lc.hkbu.edu.hk/main/research-2011/,main > research-2011,2,2021-05-26T03:28:47+00:00
https://lc.hkbu.edu.hk/main/research-2013/,main > research-2013,2,2021-05-26T03:31:48+00:00
https://lc.hkbu.edu.hk/main/research-2012/,main > research-2012,2,2021-05-26T03:31:57+00:00
https://lc.hkbu.edu.hk/main/research-2014/,main > research-2014,2,2021-05-26T03:32:12+00:00
https://lc.hkbu.edu.hk/main/research-2015/,main > research-2015,2,2021-05-26T03:32:17+00:00
https://lc.hkbu.edu.hk/main/research-2016/,main > research-2016,2,2021-05-26T03:32:23+00:00
https://lc.hkbu.edu.hk/main/research-2017/,main > research-2017,2,2021-05-26T03:32:34+00:00
https://lc.hkbu.edu.hk/main/research-2018/,main > research-2018,2,2021-05-26T03:32:39+00:00
https://lc.hkbu.edu.hk/main/research-2019/,main > research-2019,2,2021-05-26T03:32:44+00:00
https://lc.hkbu.edu.hk/main/eac/,main > eac,2,2021-06-28T01:22:11+00:00
https://lc.hkbu.edu.hk/main/sarahtoogood/,main > sarahtoogood,2,2021-07-23T03:56:41+00:00
https://lc.hkbu.edu.hk/main/zhangwei/,main > zhangwei,2,2021-10-07T07:21:34+00:00
https://lc.hkbu.edu.hk/main/dgardner/,main > dgardner,2,2021-10-22T02:28:47+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-mr-chau-wang-yeung-alex/,main > staff-chinese > staff-mr-chau-wang-yeung-alex,3,2021-12-23T09:41:45+00:00
https://lc.hkbu.edu.hk/main/joy-wong/,main > joy-wong,2,2021-12-24T02:33:34+00:00
https://lc.hkbu.edu.hk/main/tso-yuen/,main > tso-yuen,2,2021-12-24T03:32:41+00:00
https://lc.hkbu.edu.hk/main/mr-cai-chaoqun/,main > mr-cai-chaoqun,2,2021-12-24T04:03:55+00:00
https://lc.hkbu.edu.hk/main/li-shanshan/,main > li-shanshan,2,2021-12-24T04:31:52+00:00
https://lc.hkbu.edu.hk/main/ms-chan-ngan-shuen/,main > ms-chan-ngan-shuen,2,2021-12-24T04:49:21+00:00
https://lc.hkbu.edu.hk/main/ms-chen-yongyin/,main > ms-chen-yongyin,2,2021-12-28T01:45:36+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-ms-petillon-marie/,main > staff-chinese > staff-ms-petillon-marie,3,2021-12-28T01:56:35+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/staff-mr-lebayle-cedric/,main > staff-chinese > staff-mr-lebayle-cedric,3,2021-12-28T02:02:36+00:00
https://lc.hkbu.edu.hk/main/staff-mr-navas-emilio/,main > staff-mr-navas-emilio,2,2021-12-28T02:12:02+00:00
https://lc.hkbu.edu.hk/main/staff-ms-kwon-hyung-gi-julia/,main > staff-ms-kwon-hyung-gi-julia,2,2021-12-28T02:14:17+00:00
https://lc.hkbu.edu.hk/main/mr-olongo-georges/,main > mr-olongo-georges,2,2021-12-28T02:19:35+00:00
https://lc.hkbu.edu.hk/main/jonathan-rickard_eng/,main > jonathan-rickard_eng,2,2021-12-28T02:27:48+00:00
https://lc.hkbu.edu.hk/main/lam-him-sing-octavius/,main > lam-him-sing-octavius,2,2021-12-28T02:34:30+00:00
https://lc.hkbu.edu.hk/main/lydia-lam/,main > lydia-lam,2,2021-12-28T02:38:06+00:00
https://lc.hkbu.edu.hk/main/tiffany-ip/,main > tiffany-ip,2,2021-12-29T01:24:00+00:00
https://lc.hkbu.edu.hk/main/shen-minyu/,main > shen-minyu,2,2021-12-29T06:09:16+00:00
https://lc.hkbu.edu.hk/main/lschau/,main > lschau,2,2021-12-29T08:07:21+00:00
https://lc.hkbu.edu.hk/main/au-yeung-wai/,main > au-yeung-wai,2,2021-12-30T10:02:10+00:00
https://lc.hkbu.edu.hk/main/littlewo/,main > littlewo,2,2022-01-14T06:23:34+00:00
https://lc.hkbu.edu.hk/main/staff-tsui-wing-kan-pearl/,main > staff-tsui-wing-kan-pearl,2,2022-02-15T02:21:26+00:00
https://lc.hkbu.edu.hk/main/pbwarren/,main > pbwarren,2,2022-02-15T02:22:20+00:00
https://lc.hkbu.edu.hk/main/staff-chinese/yuensauchan/,main > staff-chinese > yuensauchan,3,2022-02-15T02:25:38+00:00
https://lc.hkbu.edu.hk/main/photo-certificate-presentation/,main > photo-certificate-presentation,2,2022-02-25T04:23:33+00:00
https://lc.hkbu.edu.hk/main/%e7%ac%ac%e5%8d%81%e4%ba%94%e5%b1%86%e5%a4%a7%e5%b0%88%e4%b8%ad%e6%96%87%e6%95%99%e5%ad%b8%e4%ba%a4%e6%b5%81%e6%9c%83/,main > %e7%ac%ac%e5%8d%81%e4%ba%94%e5%b1%86%e5%a4%a7%e5%b0%88%e4%b8%ad%e6%96%87%e6%95%99%e5%ad%b8%e4%ba%a4%e6%b5%81%e6%9c%83,2,2022-03-11T07:15:49+00:00
https://lc.hkbu.edu.hk/main/staff-publications-2019/,main > staff-publications-2019,2,2022-03-21T03:32:53+00:00
https://lc.hkbu.edu.hk/main/photo-diploma-pth/,main > photo-diploma-pth,2,2022-03-23T06:23:38+00:00
https://lc.hkbu.edu.hk/main/photo-international-festival/,main > photo-international-festival,2,2022-03-24T02:43:30+00:00
https://lc.hkbu.edu.hk/main/photo-us-consulate-speakers/,main > photo-us-consulate-speakers,2,2022-03-24T02:48:13+00:00
https://lc.hkbu.edu.hk/main/photo-japanese-talk/,main > photo-japanese-talk,2,2022-03-24T03:13:33+00:00
https://lc.hkbu.edu.hk/main/photo-foreign-countries/,main > photo-foreign-countries,2,2022-03-24T03:50:41+00:00
https://lc.hkbu.edu.hk/main/photo-idioms/,main > photo-idioms,2,2022-03-24T04:01:42+00:00
https://lc.hkbu.edu.hk/main/photo-aichi-university/,main > photo-aichi-university,2,2022-03-24T04:07:31+00:00
https://lc.hkbu.edu.hk/main/photo-pth/,main > photo-pth,2,2022-03-24T04:13:09+00:00
https://lc.hkbu.edu.hk/main/photo-literture-platform/,main > photo-literture-platform,2,2022-03-24T04:15:59+00:00
https://lc.hkbu.edu.hk/main/photo-diploma-chinese/,main > photo-diploma-chinese,2,2022-03-24T04:20:04+00:00
https://lc.hkbu.edu.hk/main/photo-japanese-career/,main > photo-japanese-career,2,2022-03-24T04:21:54+00:00
https://lc.hkbu.edu.hk/main/photo-us-consulate-film/,main > photo-us-consulate-film,2,2022-03-24T04:27:21+00:00
