group,site,variable,value_raw,norm_variable,value_num,unit
Group 1,Site 1,EQS,-2,eqs,-2.0,
Group 1,Site 2,EQS,1,eqs,1.0,
Group 1,Site 3,EQS,-1,eqs,-1.0,
Group 1,Site 1,BULDING HEIGHT,11,bulding height,,
Group 1,Site 2,BULDING HEIGHT,19,bulding height,,
Group 1,Site 3,BULDING HEIGHT,15,bulding height,,
Group 1,Site 1,DECIBELS,74.6,decibels_db,74.6,dB
Group 1,Site 2,DECIBELS,75,decibels_db,75.0,dB
Group 1,Site 3,DECIBELS,84,decibels_db,84.0,dB
Group 1,Site 1,TRAFFIC COUNT,"Car: 7  
Taxi: 4
Truck: 3
Motorcycle/motorbike: 0
Van: 4
Bus: 4",traffic_total,7.0,count_2min
Group 1,Site 2,TRAFFIC COUNT,"Car: 9
Taxi: 9
Truck: 0
Motorcycle/motorbike: 1
Van: 3
Bus: 3",traffic_total,9.0,count_2min
Group 1,Site 3,TRAFFIC COUNT,"Car: 6
Taxi: 9
Truck: 0
Motorcycle/motorbike: 3
Van: 4
Bus: 6",traffic_total,6.0,count_2min
Group 1,Site 1,PEDESTRIAN COUNT,9,pedestrian_count,9.0,count
Group 1,Site 2,PEDESTRIAN COUNT,10,pedestrian_count,10.0,count
Group 1,Site 3,PEDESTRIAN COUNT,57,pedestrian_count,57.0,count
Group 1,Site 1,ALL TRAFFIC OPTIONS,"Buses:
Minibus: Route 8
Citybus: Route H1S, H2
MTR:
Tsim Sha Tsui/East Tsim Sha Tsui: Tsuen Wan Line, Tuen Ma Line",traffic_total,8.0,count_2min
Group 1,Site 2,ALL TRAFFIC OPTIONS,"MTR:
Tsim Sha Tsui/East Tsim Sha Tsui: Tsuen Wan Line, Tuen Ma Line
Taxi stands: 1",traffic_total,1.0,count_2min
Group 1,Site 3,ALL TRAFFIC OPTIONS,"Buses:
KMB: Route 9, 9A, 2, 6, 79, N291, N240, 270A, 24B, 281B, 87D, 88D, 35A, 41A, 270A, 271, 291B, 271P, 13X, 14X, 26X, 35X, 280X, 281X, 26, 98P, N281, 298D, N871, 298D, 203B, 234B, 289X, 30, 79B, 790, 796, N21, N21A, N80
MTR:
Tsim Sha Tsui/East Tsim Sha Tsui: Tsuen Wan Line, Tuen Ma Line
Taxi stands: 1",traffic_total,9.0,count_2min
Group 1,Site 1,LANDUSE,Retail,land_use,,
Group 1,Site 2,LANDUSE,Retail,land_use,,
Group 1,Site 3,LANDUSE,Retail,land_use,,
Group 1,Site 1,HIGH OR LOW ORDER?,High,order_label,,
Group 1,Site 2,HIGH OR LOW ORDER?,High,order_label,,
Group 1,Site 3,HIGH OR LOW ORDER?,High,order_label,,
Group 2,Site 1,EQS,-2,eqs,-2.0,
Group 2,Site 2,EQS,-2,eqs,-2.0,
Group 2,Site 3,EQS,2,eqs,2.0,
Group 2,Site 1,BULDING HEIGHT,14,bulding height,,
Group 2,Site 2,BULDING HEIGHT,15.25,bulding height,,
Group 2,Site 3,BULDING HEIGHT,22.5,bulding height,,
Group 2,Site 1,DECIBELS,71.6dBa,decibels_db,71.6,dB
Group 2,Site 2,DECIBELS,73.6dBa,decibels_db,73.6,dB
Group 2,Site 3,DECIBELS,71.6dBa,decibels_db,71.6,dB
Group 2,Site 1,TRAFFIC COUNT,"Cars: 8
Taxis: 1
Trucks: 2
Motorcycles: 1
Vans: 2
Buses: 1
Total: 15",traffic_total,8.0,count_2min
Group 2,Site 2,TRAFFIC COUNT,"Cars: 19
Taxis: 8
Trucks: 4
Motorcycles: 1
Vans: 0
Buses: 0
Total: 32",traffic_total,19.0,count_2min
Group 2,Site 3,TRAFFIC COUNT,"Cars: 13
Taxis: 8
Trucks: 3
Motorcycles: 3
Vans: 0
Buses: 0
Total: 27",traffic_total,13.0,count_2min
Group 2,Site 1,PEDESTRIAN COUNT,79,pedestrian_count,79.0,count
Group 2,Site 2,PEDESTRIAN COUNT,88,pedestrian_count,88.0,count
Group 2,Site 3,PEDESTRIAN COUNT,21,pedestrian_count,21.0,count
Group 2,Site 1,ALL TRAFFIC OPTIONS,"GMB route 78,
Peking Road -> Island Harbour View, 
TST station (Tsuen Wan/Tuen Ma) Line",traffic_total,78.0,count_2min
