ID,support_info,support_after_info,fairness,government_consideration,policy_helpfulness_original,policy_helpfulness,waste_severity,recycling_effort,food_waste_behavior,LocalResidentcode,DailyWasteBags_More than 1 bag,DailyWasteBags_Less than 1 bag,DailyWasteBags_Exactly 1 bag,HousingType_Publicrentalhousing,HousingType_Other,HousingType_Private housing,HousingType_Subsidized housing,AgeRange_18-24,AgeRange_25-34,AgeRange_35-44,AgeRange_45-54,AgeRange_55-64,AgeRange_65+,HighestEducationLevel_Secondary,HighestEducationLevel_DiplomaorBachelor,HighestEducationLevel_Primaryorbelow,HighestEducationLevel_Masterorabove,"HouseholdMonthlyIncomeRange_15,001-30,000","HouseholdMonthlyIncomeRange_30,001-50,000","HouseholdMonthlyIncomeRange_50,001-70,000",HouseholdMonthlyIncomeRange_AboveHK70k,HouseholdMonthlyIncomeRange_Below15k,recycle_frequency,household_size,Q1_score,Q2_score,Q3_score,total_score,height,Distance to Nearest Recycling Facility,error,Distance_artificial
1,1,1,1,1,1,1,3,1,never_seen,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1.72,400,-10.2633972,259.8266667
2,5,5,5,5,5,4,2,2,never_seen,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,1,2,1.85,300,90.06285543,260.04
3,3,5,5,4,2,2,3,1,seen_not_used,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0,1,1.72,400,108.3360805,338.8933333
4,1,2,2,1,2,2,3,2,never_seen,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,2,1.67,300,-11.11366712,192.5933333
5,1,3,4,3,1,1,3,2,seen_not_used,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,2,0,1,1,2,1.84,300,49.41851403,232.9466667
6,4,4,4,4,2,2,2,2,never_seen,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,1,2,1.63,300,-90.74458406,139.5066667
7,4,4,2,3,2,2,2,2,never_seen,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,1,1,1.81,300,-25.56851342,182.9533333
8,3,3,3,2,2,2,2,3,never_seen,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,0,1,1.65,200,-12.70092578,124.8666667
9,2,2,4,2,2,2,2,2,seen_and_used,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,1,1,2,1.83,300,37.99405528,225.3266667
10,1,1,1,1,4,3,2,2,never_seen,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,3,0,1,1,2,1.73,300,15.14628734,210.1
11,2,4,3,2,4,3,2,2,seen_not_used,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,1,0,1,1.7,300,48.33451296,232.22
12,4,4,4,4,4,3,3,2,never_seen,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,0,1,1,2,1.7,300,25.34203105,216.8933333
13,3,4,3,4,4,3,3,2,seen_not_used,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,1,0,1,1.7,300,-53.74693005,164.1666667
14,3,4,4,3,4,3,3,3,seen_not_used,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,1,0,1,1.53,200,1.663418562,134.44
15,3,3,3,3,4,3,3,2,seen_not_used,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,1,2,1.61,300,-11.22684591,192.5133333
16,1,1,1,2,2,2,3,3,never_seen,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,3,0,1,0,1,1.67,200,30.01944981,153.3466667
17,1,1,1,1,1,1,2,2,seen_not_used,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,1,1.72,300,51.05390621,234.0333333
18,1,1,1,1,1,1,1,3,never_seen,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,1,1,2,1.8,200,64.97090688,176.6466667
19,4,4,4,3,4,3,3,1,seen_not_used,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,1.64,400,35.18859643,290.1266667
20,2,3,4,2,4,3,4,3,seen_and_used,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,5,0,1,1,2,1.81,200,-41.24354535,105.84
21,3,3,2,3,5,4,3,2,seen_and_used,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,5,0,1,0,1,1.73,300,-33.03827782,177.9733333
22,4,4,3,3,4,3,3,2,seen_and_used,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,1,0,1,1.65,300,-68.08001784,154.6133333
