organization,count
hk-censtatd,901
ia,241
hk-hkma,177
hk-swd,166
hk-lcsd,118
hk-landsd,110
hk-emsd,93
hk-immd,88
hk-dh,78
hk-edb,73
hk-dpo,68
hk-wsd,68
hk-td,58
hk-cepu,57
hk-epd,54
hk-hko,52
hk-afcd,52
hk-cstb,41
hk-itc,41
hk-ird,40
hk-ofca,39
hk-bd,37
hk-ld,35
hk-csd,33
hk-hkpf,33
hk-ipd,33
hk-had,32
hk-icac,31
hk-reo,30
hk-fsd,29
hk-cedd,29
hk-hyd,28
hk-ugc,27
hk-md,26
hk-archsd,25
hk-csb,24
hk-gld,24
hk-ceo,21
hk-cr,21
hk-hyab,21
hk-fehd,20
hk-wfsfaa,20
hk-devb,19
hk-gpa,19
hk-housing,18
hk-dsd,17
hk-pland,17
hk-cedb,16
hkeaa,16
hk-try,14
hkstp,14
hospital,14
cyberport,13
hk-customs,13
hk-aw,12
hk-hkpo,12
hk-sb,12
hkelectric,12
hk-lr,11
eac,11
hk-hhb,11
hk-cad,10
hk-oro,9
hk-jsscs,8
hk-doj,7
hk-sciocs,7
mpfa,7
hk-investhk,6
hkpc,6
legco,6
tpd,6
hk-aud,5
hk-isd,5
cfs,5
ff,4
hk-cas,4
hk-cso,4
hk-fstb,4
hk-govtlab,4
hk-lwb,4
hk-rvd,4
hkhs,4
mtr,4
dc,4
hk-rthk,3
sunferry,3
hktdc,3
hk-tlb,3
hk-fso,3
cc,3
hk-cmab,3
hkcert,2
traway,2
pckt,2
nlb,2
hktramways,2
ura,2
hk-tid,2
hk-lad,2
hk-itib,2
ckf,2
chsc,2
hk-ofnaa,2
hkirc,1
towngas,1
starferry,1
rehabsociety,1
llb,1
hkkf,1
hk-ams,1
hk-psc,1
hk-gfs,1
ctb,1
compcomm,1
centaline,1
aahk,1
wkcda,1
