YYYY,Month,YM,Date,Max O3
2005,1,200501,01/01/2005,32.61866667
2005,1,200501,01/02/2005,21.406
2005,1,200501,01/03/2005,19.877
2005,1,200501,01/04/2005,13.25133333
2005,1,200501,01/05/2005,38.225
2005,1,200501,01/06/2005,76.45
2005,1,200501,01/07/2005,45.36033333
2005,1,200501,01/08/2005,46.88933333
2005,1,200501,01/09/2005,39.754
2005,1,200501,01/10/2005,33.12833333
2005,1,200501,01/11/2005,62.689
2005,1,200501,01/12/2005,19.36733333
2005,1,200501,01/13/2005,10.703
2005,1,200501,01/14/2005,21.406
2005,1,200501,01/15/2005,33.638
2005,1,200501,01/16/2005,56.573
2005,1,200501,01/17/2005,49.94733333
2005,1,200501,01/18/2005,38.73466667
2005,1,200501,01/19/2005,27.01233333
2005,1,200501,01/20/2005,41.283
2005,1,200501,01/21/2005,44.341
2005,1,200501,01/22/2005,37.20566667
2005,1,200501,01/23/2005,61.16
2005,1,200501,01/24/2005,47.399
2005,1,200501,01/25/2005,40.77333333
2005,1,200501,01/26/2005,28.54133333
2005,1,200501,01/27/2005,34.14766667
2005,1,200501,01/28/2005,12.232
2005,1,200501,01/29/2005,24.464
2005,1,200501,01/30/2005,2.548333333
2005,1,200501,01/31/2005,7.135333333
2005,2,200502,02/01/2005,12.74166667
2005,2,200502,02/02/2005,23.44466667
2005,2,200502,02/03/2005,19.877
2005,2,200502,02/04/2005,29.56066667
2005,2,200502,02/05/2005,25.993
2005,2,200502,02/06/2005,30.07033333
2005,2,200502,02/07/2005,29.051
2005,2,200502,02/08/2005,27.522
2005,2,200502,02/09/2005,35.167
2005,2,200502,02/10/2005,19.877
2005,2,200502,02/11/2005,34.65733333
2005,2,200502,02/12/2005,51.47633333
2005,2,200502,02/13/2005,37.71533333
2005,2,200502,02/14/2005,34.65733333
2005,2,200502,02/15/2005,28.03166667
2005,2,200502,02/16/2005,25.48333333
2005,2,200502,02/17/2005,22.42533333
2005,2,200502,02/18/2005,2.038666667
2005,2,200502,02/19/2005,21.406
2005,2,200502,02/20/2005,27.522
2005,2,200502,02/21/2005,17.83833333
2005,2,200502,02/22/2005,2.038666667
2005,2,200502,02/23/2005,33.12833333
2005,2,200502,02/24/2005,16.30933333
2005,2,200502,02/25/2005,37.20566667
2005,2,200502,02/26/2005,39.24433333
2005,2,200502,02/27/2005,33.638
2005,2,200502,02/28/2005,9.174
2005,3,200503,03/01/2005,22.935
2005,3,200503,03/02/2005,21.91566667
2005,3,200503,03/03/2005,17.83833333
2005,3,200503,03/04/2005,28.54133333
2005,3,200503,03/05/2005,55.044
2005,3,200503,03/06/2005,51.986
2005,3,200503,03/07/2005,25.993
2005,3,200503,03/08/2005,38.225
2005,3,200503,03/09/2005,40.77333333
2005,3,200503,03/10/2005,33.638
2005,3,200503,03/11/2005,27.522
2005,3,200503,03/12/2005,27.01233333
2005,3,200503,03/13/2005,16.30933333
2005,3,200503,03/14/2005,12.232
