topic,package,resource,provider,url,saved_to,status
transport,Traffic speed map,Please download second generation of the dataset,Transport Department,https://static.data.gov.hk/td/traffic-speed-map/notification.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Traffic_speed_map__Please_download_second_generation_of_the_dataset.csv,ok
transport,Speed map panels (2nd Generation),Speed Map Panels locations (English),Transport Department,https://static.data.gov.hk/td/speed-map-panels-v2/info/Speed_Map_Panel_Locations_en.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Speed_map_panels__2nd_Generation___Speed_Map_Panels_locations__English_.csv,ok
transport,Speed map panels (2nd Generation),Speed Map Panels locations (Traditional Chinese),Transport Department,https://static.data.gov.hk/td/speed-map-panels-v2/info/Speed_Map_Panel_Locations_tc.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Speed_map_panels__2nd_Generation___Speed_Map_Panels_locations__Traditional_Chinese_.csv,ok
transport,Traffic Speed Map (City Dashboard Version),Traffic Speed Map (City Dashboard Version) Link Information,Digital Policy Office,https://datagovhk.blob.core.windows.net/dataset/traffic-speed/traffic-speed-info.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Traffic_Speed_Map__City_Dashboard_Version___Traffic_Speed_Map__City_Dashboard_Version__Link_In.csv,ok
transport,Traffic Speed Map (City Dashboard Version),Traffic Speed Map (City Dashboard Version) Link Information,Digital Policy Office,https://datagovhk.blob.core.windows.net/dataset/traffic-speed/traffic-speed-info.json,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Traffic_Speed_Map__City_Dashboard_Version___Traffic_Speed_Map__City_Dashboard_Version__Link_In.json,ok
transport,Car Journey Time data,A.M. Peak Car Journey Time (Cross-District Routes On Hong Kong Island) - 2023,Transport Department,https://www.td.gov.hk/datagovhk_td/car-journey-time-data/resources/am_peak_car_journey_time_(cross-district_routes_on_hong_kong_island)_2023.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Car_Journey_Time_data__A_M__Peak_Car_Journey_Time__Cross-District_Routes_.csv,ok
transport,Car Journey Time data,A.M. Peak Car Journey Time (Cross-District Routes In Kowloon) - 2023,Transport Department,https://www.td.gov.hk/datagovhk_td/car-journey-time-data/resources/am_peak_car_journey_time_(cross-district_routes_in_kowloon)_2023.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Car_Journey_Time_data__A_M__Peak_Car_Journey_Time__Cross-District_Routes_.csv,ok
transport,Traffic data from Traffic Data Analytics System,Average traffic speed and total journey time of driving route,Transport Department,https://tdas-api.hkemobility.gov.hk/tdas/api/route,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Traffic_data_from_Traffic_Data_Analytics_System__Average_traffic_speed_and_total_journey_time_of_dr.dat,failed
transport,Monthly Traffic and Transport Digest (CSV),Last revision date of Monthly Traffic and Transport Digest (English) ,Transport Department,https://www.td.gov.hk/datagovhk_tis/mttd-csv/en/DATA_LAST_REVISION_DATE_eng.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Monthly_Traffic_and_Transport_Digest__CSV___Last_revision_date_of_Monthly_Traffic_and_Transpor.csv,ok
transport,Monthly Traffic and Transport Digest (CSV),Last revision date of Monthly Traffic and Transport Digest (Traditional Chinese) ,Transport Department,https://www.td.gov.hk/datagovhk_tis/mttd-csv/tc/DATA_LAST_REVISION_DATE_tc.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Monthly_Traffic_and_Transport_Digest__CSV___Last_revision_date_of_Monthly_Traffic_and_Transpor.csv,ok
transport,Traffic Data of Strategic / Major Roads,Locations of Traffic Detectors ,Transport Department,https://static.data.gov.hk/td/traffic-data-strategic-major-roads/info/traffic_speed_volume_occ_info.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Traffic_Data_of_Strategic___Major_Roads__Locations_of_Traffic_Detectors_.csv,ok
transport,Traffic Data of Strategic / Major Roads,Road Network Segments ,Transport Department,https://static.data.gov.hk/td/traffic-data-strategic-major-roads/info/speed_segments_info.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Traffic_Data_of_Strategic___Major_Roads__Road_Network_Segments_.csv,ok
transport,Road Network (2nd Generation),Delta change of bus only lane,Transport Department,https://static.data.gov.hk/td/road-network-v2/BUS_ONLY_LANE_change.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Road_Network__2nd_Generation___Delta_change_of_bus_only_lane.csv,ok
transport,Road Network (2nd Generation),Delta change of road centerline,Transport Department,https://static.data.gov.hk/td/road-network-v2/CENTERLINE_change.csv,/Users/simonwang/Documents/Usage/VibeCoding/DailyAssistant/projects/GCAP3226/course_materials/resources/datasets/open_data/transport/Road_Network__2nd_Generation___Delta_change_of_road_centerline.csv,ok
